Batch,Accession,Variety,SampleEvents,Sample_PImean,RiceEvents,Rice_Pimean,GenomeSize.mgb,GenomeSize.pg
180109,TX_1113,Wild,1967,94351,2275,15487,2710.45134,5.543966553
180111,TX_1115,Wild,5126,83605,4242,16014,2322.709161,4.750877357
180111,TX_1115,Wild,5238,86567,3412,16921,2276.086419,4.65551504
180111,TX_1115,Wild,4685,82468,3812,15559,2358.12155,4.823309981
180111,TX_1115,Wild,6596,82290,3036,15924,2299.097023,4.70258101
180109,TX_1115,Wild,3177,90501,3052,17974,2240.118777,4.581946701
180109,TX_1115,Wild,2069,90964,3472,17788,2275.122757,4.653543962
180109,TX_1115,Wild,2276,86829,3369,17321,2230.253571,4.561768374
180111,TX_1120,Wild,3683,83490,1342,15771,2355.253376,4.817443409
180111,TX_1120,Wild,3322,91724,3326,15370,2655.042785,5.430633702
180111,TX_1120,Wild,5862,83356,3162,15953,2324.646424,4.754839842
180111,TX_1120,Wild,4760,84491,3635,16064,2340.017798,4.786280503
180109,TX_1120,Wild,4094,96324,3191,16003,2677.907117,5.477400487
180109,TX_1120,Wild,3252,96135,4481,16342,2617.210959,5.353252356
180109,TX_1120,Wild,3361,94765,4490,15600,2702.624904,5.527958333
180109,TX_1120,Wild,5563,95352,2375,15897,2668.560408,5.458282695
180111,TX_1182,Wild,6220,86568,1545,16298,2363.11837,4.833530495
180111,TX_1182,Wild,4912,86488,3363,16635,2313.105573,4.731234145
180111,TX_1182,Wild,4183,84330,4226,15975,2348.570704,4.803774648
180109,TX_1182,Wild,2937,89967,4450,16921,2365.481845,4.838364754
180109,TX_1182,Wild,500,92882,1676,17337,2383.526666,4.875273692
180109,TX_1182,Wild,4114,86953,2830,16862,2294.234948,4.692636105
180109,TX_1182,Wild,2101,90689,3963,17383,2321.091647,4.747568889
180111,TX_1183,Wild,5329,90198,1944,16903,2374.080944,4.855953381
180111,TX_1183,Wild,4557,87834,2369,16285,2399.59144,4.908132637
180111,TX_1183,Wild,5516,90844,2319,17668,2287.55352,4.678969889
180109,TX_1183,Wild,5919,91560,1724,17563,2319.367079,4.744041451
180109,TX_1183,Wild,3350,90703,3333,17075,2363.324433,4.833951977
180109,TX_1183,Wild,4692,88091,2916,16905,2318.348767,4.741958592
180109,TX_1183,Wild,6461,88158,1585,16432,2386.897164,4.882167722
180116,TX_1228,Wild,3817,82206,753,14910,2452.947646,5.017267606
